title,URL,BibTeX,bibtex_type,bibtex_title,bibtex_year,language,C3_label,C4_label,C5_label
Software Vulnerability Discovery via Learning Multi-Domain Knowledge Bases,,2019,https://ieeexplore.ieee.org/document/8906156/,,en,Journal Article,1,0,0
Hackers vs. Testers: A Comparison of Software Vulnerability Discovery Processes,,2018,https://ieeexplore.ieee.org/document/8418614/,,en,Conference Paper,1,0,0
Software Vulnerability Analysis and Discovery Using Deep Learning Techniques: A Survey,,2020,https://ieeexplore.ieee.org/document/9244140/,,en,Journal Article,0,,
Vulnerability Scrying Method for Software Vulnerability Discovery Prediction Without a Vulnerability Database,,2013,https://ieeexplore.ieee.org/document/6502762/,,en,Journal Article,1,0,0
Using Attack Surface Entry Points and Reachability Analysis to Assess the Risk of Software Vulnerability Exploitability,,2014,https://ieeexplore.ieee.org/document/6754581/,,en,Conference Paper,1,0,0
Using historical software vulnerability data to forecast future vulnerabilities,,2015,https://ieeexplore.ieee.org/document/7287429/,,en,Conference Paper,1,0,0
Security Bug Report Usage for Software Vulnerability Research: A Systematic Mapping Study,,2021,https://ieeexplore.ieee.org/document/9350573/,,en,Journal Article,0,,
A Software Vulnerability Dataset of Large Open Source C/C++ Projects,,2022,https://ieeexplore.ieee.org/document/10027806/,,en,Conference Paper,1,0,0
The Last Mile of Attack Investigation: Audit Log Analysis Toward Software Vulnerability Location,,2024,https://ieeexplore.ieee.org/document/10695108/,,en,Journal Article,1,0,0
The Richer Representation Fallacy: Are We Just Adding Noise to LLM-based Software Vulnerability Detectors?,,2025,https://ieeexplore.ieee.org/document/11334069/,,en,Conference Paper,1,0,0
Automation Framework for Software Vulnerability Exploitability Assessment,,2019,https://ieeexplore.ieee.org/document/8978344/,,en,Conference Paper,1,0,0
Enhancing Software Vulnerability Analysis via Large Language Models: A Systematic Review,,2025,https://ieeexplore.ieee.org/document/11360411/,,en,Conference Paper,0,,
Can Large Language Models Better Predict Software Vulnerability?,,2023,https://ieeexplore.ieee.org/document/10174672/,,en,Magazine Article,0,,
Software Vulnerability Discovery Techniques: A Survey,,2012,https://ieeexplore.ieee.org/document/6405650/,,en,Conference Paper,0,,
A Systematic Literature Review on Software Vulnerability Prediction Models,,2023,https://ieeexplore.ieee.org/document/10244744/,,en,Journal Article,0,,
A framework based security-knowledge database for vulnerabilities detection of business logic,,2010,https://ieeexplore.ieee.org/document/5508127/,,en,Conference Paper,1,0,0
An Ontology-Based Context Model for Managing Security Knowledge in Software Development,,2018,https://ieeexplore.ieee.org/document/8588107/,,en,Conference Paper,1,0,0
Integrating Heterogeneous Security Knowledge Sources for Comprehensive Security Analysis,,2021,https://ieeexplore.ieee.org/document/9529428/,,en,Conference Paper,1,0,0
Becoming a Security Expert,,2008,https://ieeexplore.ieee.org/document/4446702/,,en,Magazine Article,0,,
CWE Pattern Identification using Semantical Clustering of Programming Language Keywords,,2021,https://ieeexplore.ieee.org/document/9481054/,,en,Conference Paper,1,0,0
Fine-grained Commit-level Vulnerability Type Prediction by CWE Tree Structure,,2023,https://ieeexplore.ieee.org/document/10172785/,,en,Conference Paper,1,0,0
Towards Practical Cybersecurity Mapping of STRIDE and CWE — a Multi-perspective Approach,,2021,https://ieeexplore.ieee.org/document/9435453/,,en,Conference Paper,1,0,0
From Theory to Practice: Code Generation Using LLMs for CAPEC and CWE Frameworks,,2025,https://ieeexplore.ieee.org/document/11028365/,,en,Conference Paper,1,0,0
Leveraging Large Language Models for Security Patch Detection and CWE Classification,,2025,https://ieeexplore.ieee.org/document/11017081/,,en,Conference Paper,1,0,0
Towards Secure Code Generation With LLMs: A Study on Common Weakness Enumeration,,2025,https://ieeexplore.ieee.org/document/11197590/,,en,Journal Article,1,0,0
Using web security scanners to detect vulnerabilities in web services,,2009,https://ieeexplore.ieee.org/document/5270294/,,en,Conference Paper,0,,
A Black-Box Approach to Detect Vulnerabilities in Web Services Using Penetration Testing,,2015,https://ieeexplore.ieee.org/document/7069095/,,en,Journal Article,1,0,0
SOA-Scanner: An Integrated Tool to Detect Vulnerabilities in Service-Based Infrastructures,,2013,https://ieeexplore.ieee.org/document/6649706/,,en,Conference Paper,1,0,0
BEDetector: A Two-Channel Encoding Method to Detect Vulnerabilities Based on Binary Similarity,,2021,https://ieeexplore.ieee.org/document/9373443/,,en,Journal Article,1,0,0
Predicting Vulnerability Type in Common Vulnerabilities and Exposures (CVE) Database with Machine Learning Classifiers,,2021,https://ieeexplore.ieee.org/document/9513723/,,en,Conference Paper,1,0,0
"Web Application Security: Threats, Countermeasures, and Pitfalls",,2017,https://ieeexplore.ieee.org/document/7945157/,,en,Magazine Article,1,0,0
A case study on web application security testing with tools and manual testing,,2013,https://ieeexplore.ieee.org/document/6567420/,,en,Conference Paper,1,0,0
Open source web application security: A static analysis approach,,2016,https://ieeexplore.ieee.org/document/7745369/,,en,Conference Paper,0,,
"25 Years in Application Security: Looking Back, Looking Forward",,2021,https://ieeexplore.ieee.org/document/9693422/,,en,Magazine Article,0,,
Web application security assessment tools,,2006,https://ieeexplore.ieee.org/document/1668000/,,en,Magazine Article,0,,
Large-Scale Empirical Study of Important Features Indicative of Discovered Vulnerabilities to Assess Application Security,,2019,https://ieeexplore.ieee.org/document/8629314/,,en,Journal Article,0,,
Web application security: Improving critical web-based applications quality through in-depth security analysis,,2011,https://ieeexplore.ieee.org/document/5978496/,,en,Conference Paper,1,0,0
Web application security engineering,,2006,https://ieeexplore.ieee.org/document/1667998/,,en,Magazine Article,1,0,0
An Empirical Study of the Evolution of PHP Web Application Security,,2011,https://ieeexplore.ieee.org/document/6165758/,,en,Conference Paper,0,,
"Cloud-Native Application Security: Risks, Opportunities, and Challenges in Securing the Evolving Attack Surface",,2021,https://ieeexplore.ieee.org/document/9585165/,,en,Magazine Article,0,,
Perusal of web application security approach,,2017,https://ieeexplore.ieee.org/document/8324026/,,en,Conference Paper,0,,
Integrating Web Application Security Penetration Testing into the Software Development Life Cycle: A Systematic Literature Review,,2021,https://ieeexplore.ieee.org/document/9655950/,,en,Conference Paper,0,,
Design for a cloud-based hybrid Android application security assessment framework,,2014,https://ieeexplore.ieee.org/document/7107254/,,en,Conference Paper,1,0,0
Enhancing Web Application Penetration Testing with a Static Application Security Testing (SAST) Tool,,2023,https://ieeexplore.ieee.org/document/10468317/,,en,Conference Paper,1,0,0
From Application Security Verification Standard (ASVS) to Regulation Compliance: A Case Study in Financial Services Sector,,2021,https://ieeexplore.ieee.org/document/9700387/,,en,Conference Paper,1,0,0
Improvement of Effectiveness for Static Application Security Testing for detection of SQL Injection vulnerabilities.,,2024,https://ieeexplore.ieee.org/document/11122171/,,en,Conference Paper,1,0,0
Advanced Password Hashing Techniques for Enhancing Web Application Security: A Performance Evaluation of Leading Algorithms,,2025,https://ieeexplore.ieee.org/document/11167021/,,en,Conference Paper,1,0,0
A Metamodel for Web Application Security Evaluation,,2023,https://ieeexplore.ieee.org/document/10328176/,,en,Conference Paper,1,0,0
AI-Driven XSS Vulnerability Scanner with Context-Aware Remediation for Web Application Security,,2025,https://ieeexplore.ieee.org/document/11200538/,,en,Conference Paper,1,0,0
Analysis of web application security mechanism and Attack Detection using Vulnerability injection technique,,2016,https://ieeexplore.ieee.org/document/7860004/,,en,Conference Paper,1,0,0
Holistic Web Application Security Visualization for Multi-Project and Multi-Phase Dynamic Application Security Test Results,,2021,https://ieeexplore.ieee.org/document/9347435/,,en,Journal Article,1,0,0
A Metrics Framework to Drive Application Security Improvement,,2007,https://ieeexplore.ieee.org/document/4140998/,,en,Magazine Article,1,0,0
Aggregation process for implementation of application security management based on risk assessment,,2018,https://ieeexplore.ieee.org/document/8317039/,,en,Conference Paper,0,,
Towards Visual Analytics Dashboards for Provenance-driven Static Application Security Testing,,2021,https://ieeexplore.ieee.org/document/9629413/,,en,Conference Paper,1,0,0
Vulnerability Analysis Using The Interactive Application Security Testing (IAST) Approach For Government X Website Applications,,2020,https://ieeexplore.ieee.org/document/9332116/,,en,Conference Paper,0,,
ASASI: An Environment for Addressing Software Application Security Issues,,2006,https://ieeexplore.ieee.org/document/4041534/,,en,Conference Paper,1,0,0
Web-application Security Evaluation as a Service with Cloud Native Environment Support,,2019,https://ieeexplore.ieee.org/document/9103414/,,en,Conference Paper,1,0,0
Integrating Application Security Testing Tools into ALM Tools in the Automotive Industry,,2019,https://ieeexplore.ieee.org/document/8859480/,,en,Conference Paper,1,0,0
Cloud based mobile application security enforcement using device attestation API,,2021,https://ieeexplore.ieee.org/document/9638302/,,en,Conference Paper,1,0,0
Usability of Static Application Security Testing Workflows,,2025,https://ieeexplore.ieee.org/document/11272058/,,en,Conference Paper,1,0,0
A Resilient Cybersecurity Framework for Enhancing Mobile Application Security with Artificial Intelligence,,2025,https://ieeexplore.ieee.org/document/11324191/,,en,Conference Paper,1,0,0
Experimental Investigation of Web Application Security,,2021,https://ieeexplore.ieee.org/document/9628957/,,en,Conference Paper,1,0,0
WebScan: A Comprehensive Static and Dynamic Analysis Approach for Web Application Security,,2025,https://ieeexplore.ieee.org/document/11076695/,,en,Conference Paper,1,0,0
Stack Overflow Considered Harmful? The Impact of Copy&Paste on Android Application Security,,2017,https://ieeexplore.ieee.org/document/7958574/,,en,Conference Paper,1,0,0
Towards Better Utilizing Static Application Security Testing,,2019,https://ieeexplore.ieee.org/document/8804441/,,en,Conference Paper,1,0,0
Non-detrimental Web application security scanning,,2004,https://ieeexplore.ieee.org/document/1383120/,,en,Conference Paper,1,0,0
Research of Static Application Security Testing Technique Problems and Methods for Solving Them,,2024,https://ieeexplore.ieee.org/document/10496755/,,en,Conference Paper,1,0,0
Constructing Benchmarks for Supporting Explainable Evaluations of Static Application Security Testing Tools,,2019,https://ieeexplore.ieee.org/document/8914138/,,en,Conference Paper,1,0,0
A Comprehensive Study on Static Application Security Testing (SAST) Tools for Android,,2024,https://ieeexplore.ieee.org/document/10738442/,,en,Journal Article,1,0,0
An Application Security Framework for SOA-Based Mission Data Systems,,2011,https://ieeexplore.ieee.org/document/6007775/,,en,Conference Paper,1,0,0
Can a Llama Be a Watchdog? Exploring Llama 3 and Code Llama for Static Application Security Testing,,2024,https://ieeexplore.ieee.org/document/10679444/,,en,Conference Paper,1,0,0
Enhancing Automated Android Application Security through Hybrid Static and Dynamic Analysis Techniques,,2024,https://ieeexplore.ieee.org/document/10550843/,,en,Conference Paper,1,0,0
Enhance enterprise Android application security with cloud computing and big data analytics,,2014,https://ieeexplore.ieee.org/document/7065042/,,en,Conference Paper,1,0,0
Spring Framework Benchmarking Utility for Static Application Security Testing (SAST) Tools,,2025,https://ieeexplore.ieee.org/document/11124241/,,en,Journal Article,1,0,0
Comprehensive Research on Mobile Application Security Assessment,,2025,https://ieeexplore.ieee.org/document/11052915/,,en,Conference Paper,1,0,0
Automated Intel SGX Integration for Enhanced Application Security,,2024,https://ieeexplore.ieee.org/document/10632129/,,en,Journal Article,1,0,0
Mobile Application Security in the Health Care and Finance Sector with Static Analysis (Tools: MobSF),,2023,https://ieeexplore.ieee.org/document/10374057/,,en,Conference Paper,1,0,0
Barriers to Using Static Application Security Testing (SAST) Tools: A Literature Review,,2024,https://ieeexplore.ieee.org/document/10765111/,,en,Conference Paper,0,,
Integrating Application Security into Software Development,,2010,https://ieeexplore.ieee.org/document/5439506/,,en,Magazine Article,1,0,0
A Framework of Vulnerable Code Dataset Generation by Open-Source Injection,,2021,https://ieeexplore.ieee.org/document/9497888/,,en,Conference Paper,1,0,0
Vulnerable Code Detection Using Software Metrics and Machine Learning,,2020,https://ieeexplore.ieee.org/document/9272730/,,en,Journal Article,0,,
Automatic Identification of Vulnerable Code: Investigations with an AST-Based Neural Network,,2021,https://ieeexplore.ieee.org/document/9529451/,,en,Conference Paper,1,0,0
Scalable Cloud-Based Tool to Empirically Detect Vulnerable Code Patterns in Large-Scale System,,2020,https://ieeexplore.ieee.org/document/9208325/,,en,Conference Paper,1,0,0
A Slicing-Based Approach for Detecting and Patching Vulnerable Code Clones,,2025,https://ieeexplore.ieee.org/document/11025865/,,en,Conference Paper,1,0,0
